,기업명,제목,LABEL
6,넥스트칩,'물적분할 후 상장' 넥스트칩 IPO도 흥행···쪼개기 꼼수 논란은 '꼬리표',
7,넥스트칩,"넥스트칩, 일반청약 첫날 증거금 3069억... 수요예측·경쟁률은?",
8,넥스트칩,몸값 낮추고 물량 다이어트까지...예비 상장사들 '투심 잡기' 총력,
9,넥스트칩,미래모빌리티·자율주행차 기술 논의의 장 마련,
0,범한퓨얼셀,‘수소 연료전지’ 내세운 IPO 기대주 범한퓨얼셀...기관 투심 몰릴까,
1,범한퓨얼셀,[초대석] 정영식 범한퓨얼셀 대표이사,
2,범한퓨얼셀,"범한퓨얼셀, 잠수함용 연료전지에 IPO 기대감",
3,범한퓨얼셀,범한퓨얼셀 '높은 이익률·안정적 매출' 강점...수소연료전지로 IPO 한파 뚫는...,
4,범한퓨얼셀,잠수함 연료전지 범한퓨얼셀...IPO 희망공모가 3.2만~4만원,
5,범한퓨얼셀,"[장외시황] 범한퓨얼셀-비플라이소프트, 3일까지 수요예측 진행",
6,범한퓨얼셀,[주린이의 공모주] 수소·차량용 반도체·AI…6월 IPO 투자자 선택은?,
7,범한퓨얼셀,증시 불안 속 분전하는 ‘코스닥 IPO’…이달 7건 출격 준비,
8,범한퓨얼셀,"[IPO출사표]비플라이소프트 ""글로벌 미디어 플랫폼 기업 도약""",
9,범한퓨얼셀,"경남TP, 예비수소기업을 수소전문기업으로 탈바꿈시킨다.",
0,범한퓨얼셀,"'수소연료전기 개발' 범한퓨얼셀, 공모주 청약 진행",
1,범한퓨얼셀,범한퓨얼셀 8~9일 공모주 청약 시작...공모가·상장일·수요예측 결과는?,
2,범한퓨얼셀,'751대 1' 범한퓨얼셀 공모주 청약 스타트,
3,범한퓨얼셀,'수요예측 751대1' 범한퓨얼셀… 8~9일 일반 청약 진행,
4,범한퓨얼셀,"‘소부장’, IPO 한파 뚫었다…범한퓨얼셀, 수요예측 성공",
5,범한퓨얼셀,IPO 침체에도 '소부장'은 통한다…6월도 '옥석가리기',
6,범한퓨얼셀,"범한퓨얼셀, 공모가 4만원 확정",
7,범한퓨얼셀,오늘의 증시 메모[6월 9일],
8,범한퓨얼셀,오늘의 증시 일정 (6월 9일),
9,범한퓨얼셀,"[마켓인]비플라이소프트, 수요예측 저조…공모가 40% 하향",
0,대명에너지,"[시그널] '품절주' 전략 통했나…대명에너지, 수요예측 선방",
1,대명에너지,"다음주 공모주 대명에너지, 기업공개 '재도전' 포바이포 흥행 이어받을까",
2,대명에너지,[경제포커스] 냉랭해진 공모시장…대어 쏟아지는 하반기는 다를까,
3,대명에너지,[4월30일자] 비즈니스포스트 아침의 주요기사,
0,포바이포,"초고화질 영상 콘텐츠 전문기업 포바이포, 이달 코스닥 입성",
1,포바이포,"[오늘의 경제 일정] 기재부, 월간 재정동향 및 이슈 발표",
2,포바이포,[오늘의 주요 일정] '회계부정·부당합병' 이재용 삼성전자 부회장 공판,
3,포바이포,IPO '비수기'에 수요예측 돌입하는 원스토어 등 3사…반전 신호탄 될까,
4,포바이포,IPO 24%나 급감...수요예측 규제 개시까지 시장 위축,
5,포바이포,"[장외시황] 포바이보, 상장 위한 수요예측 시작...루닛 –0.57% 하락",
6,포바이포,한 풀 꺾인 IPO 시장…다시 뜨는 '스팩' 투자,
7,포바이포,"[UCL REVIEW] '피르미누 멀티골' 리버풀, 합계 6-4 벤피카 꺾고 4강행…비야레...",
8,포바이포,"금천구의사회, 제1차 상임이사회 개최",
9,포바이포,"이뉴어바이오, 프리미엄 피쉬콜라겐 출시",
0,포바이포,IPO 시장 다시 불붙나…포바이포에 14조 몰렸다,
1,포바이포,"포바이포 공모주 일반청약 경쟁률 3763대1, 증거금 14조 몰려",
2,포바이포,"[증권소식] KB자산운용, 현대차·롯데와 전기차 초고속 충전소 구축협약/포바...",
3,포바이포,"포바이포, 청약 경쟁률 3763대1… 올해 IPO 중 최대 경쟁률",
4,포바이포,"""대체 무슨 기업?"" 포바이포, 올해 최고 경쟁률에 증거금 14조억원",
5,포바이포,"포바이포, 일반청약 올해 최고기록... 수요예측 경쟁률·공모가·상장일은?",
6,포바이포,"포바이포, 공모가 희망밴드 보다 높은 1만7000원 상단 확정",
7,포바이포,"포바이포, 청약 경쟁률 3,763대1...올해 IPO 중 역대 최대 경쟁률 기록",
8,포바이포,"공모 철회했던 보로노이, 5월 중 증시 입성 재시동",
9,포바이포,"[더벨]아이젠PE, 서울 청과물 도매법인 '서부청과' 인수",
0,위니아에이드,"위니아에이드, 이달 코스닥 상장…""글로벌 원스톱 플랫폼 도약""",
1,위니아에이드,“유망업종 공모주 온다” 레이저쎌·위니아에이드 수요예측에 기관 투심 ‘들...,
2,위니아에이드,"[장외시황] 레이저쎌ㆍ위니아에이드, 10일까지 수요예측…싸이버로지텍 52주 ...",
3,위니아에이드,"[톡톡IPO] ""국내에서 세계로… 2025년 매출 1조 달성""",
4,위니아에이드,"[IPO 간담회] 위니아에이드 ""코스닥 상장…글로벌 원스톱 플랫폼 기업 도약""",
5,위니아에이드,"[금일 증권업계 주요이슈]""라임·옵티머스 재조사 가능성에"" 금투업계 긴장감...",
6,위니아에이드,[특징주] 삼성전기·테슬라 계약 소식에 캠시스 '급등'…무상증자 권리락 종목...,
7,위니아에이드,[오늘의 주요 일정] '75억 횡령·배임' 홍문종 전 의원 2심 속행 공판,
8,위니아에이드,"[오늘의 경제 일정] 최저임금위, 제3차 전원회의 개최",
9,위니아에이드,"[2022년 6월 9일 경제·산업 주요 일정] 금융위, 정례회의·산업부, 철의날 기...",
0,가온칩스,"원스토어, 가온칩스 등 4곳 다음주 일반청약",
1,가온칩스,[공시줍줍]공모주달력 5월9~13일,
2,가온칩스,[이번 주 IPO] 5월 둘째 주 수요예측·청약 일정,
3,가온칩스,다음 주 어떤 공모주 청약해 볼까,
4,가온칩스,"시장위축에 SK쉴더스 좌초, 5월 공모주 시장 괜찮을까",
5,가온칩스,[증시캘린더]이번주(5월2주) 원스토어 수요예측·일반청약,
6,가온칩스,MSCI 정기변경 임박…대규모 자금 어디로 가나,
7,가온칩스,'大魚' 원스토어 등 4개社 일반 청약,
0,레이저쎌,"레이저쎌, 공모가 1만6000원 확정…14~15일 청약",
1,레이저쎌,"'유니콘 특례 1호' 보로노이, 공모가 4만원 확정…14일부터 청약 접수",
2,레이저쎌,범한퓨얼셀·레이저쎌 출격...유망업종 '긴급수혈'로 IPO 열기 꿈틀,
3,레이저쎌,"[증권소식] KB자산운용, KBSTAR 국채선물3년 ETF 상장/레이저쎌·위니아에이드...",
4,레이저쎌,"2022년 6월 공모주 청약 일정, 레이저쎌·보로노이·위니아에이드 이슈는?",
5,레이저쎌,[6월 공모주 일정] 위니아에이드 수요예측? 보로노이부터 넥스트칩·코난테크...,
6,레이저쎌,[이번주 증시 캘린더] 범한퓨얼셀 코스닥 입성…보로노이·위니아에이드 공모...,
7,레이저쎌,증권사도 코로나 엔데믹... 3년만에 오프라인 세미나 재개,
8,레이저쎌,오늘의 증시 메모[6월 14일],
9,레이저쎌,오늘의 증시 일정 (6월 14일),
0,범한퓨얼셀,[6월 공모주 일정] 범한퓨얼셀·위니아에이드·레이저쎌 등 공모가·수요예측...,
1,범한퓨얼셀,'수소 테마' 범한퓨얼셀·'미디어 빅데이터' 비플라이소프트 일반청약,
2,범한퓨얼셀,"이번주 공모주 청약, 범한퓨얼셀·비플라이소프트 2개사",
3,범한퓨얼셀,"IPO 열기 돌아올까…이번주 빽빽한 '공모주 일정', 눈여겨볼 기업은?",
4,범한퓨얼셀,"[증시캘린더]보로노이, 기관투자자 대상 수요예측",
0,대명에너지,"대명에너지, 몸값 낮추고 IPO 재도전… 오늘 일반청약 진행",
1,대명에너지,[공시줍줍]신규상장기업이력서-대명에너지,
2,대명에너지,"[주린이의 공모주] ""신재생에너지 확대 수혜""…대명에너지, 몸값 낮춰 투자자...",
3,대명에너지,"[장외시황] 대명에너지, 공모주 청약 진행…에이엘티 1.20% 상승",
4,대명에너지,"대명에너지에 쏟아지는 '눈길'... ""기업 성장 잠재력 충분 따상 기대""",
5,대명에너지,"대명에너지, 기관 공모가 1만5000원 확정돼…경쟁률 254.7대 1 기록",
6,대명에너지,SK쉴더스 열기 식은 공모시장 불 지필까,
7,대명에너지,"5월 IPO시장, 흥행 향방 '오리무중'",
8,대명에너지,오늘의 증시 메모[5월 4일],
9,대명에너지,오늘의 증시 일정 (5월 4일),
0,가온칩스,IPO 큰 장 서는데…고평가 논란·규제로 '가시밭길' 예고,
0,레이저쎌,“유망업종 공모주 온다” 레이저쎌·위니아에이드 수요예측에 기관 투심 ‘들...,
1,레이저쎌,"레이처쎌 ""글로벌 유일 면-레이저 솔루션 플랫폼 될 것""…이달 상장",
2,레이저쎌,최재준 레이저쎌 대표 “코스닥 상장 통해 글로벌 ‘면-레이저’ 토털 솔루션...,
3,레이저쎌,"레이저쎌, IPO 앞두고 기자간담회 개최…""글로벌 유일 '면-레이저' 토털 솔루...",
4,레이저쎌,"레이저쎌, ""글로벌 유일 면-레이저 기업 도약할 것""...IPO 기자간담회",
5,레이저쎌,[IPO 간담회] 세계 최초 면-레이저 기술 '레이저쎌',
6,레이저쎌,"[톡톡IPO] ""글로벌 최고의 면-레이저 토털 솔루션 플랫폼 되겠다""",
7,레이저쎌,"[장외시황] 레이저쎌ㆍ위니아에이드, 10일까지 수요예측…싸이버로지텍 52주 ...",
8,레이저쎌,IPO한파에도…尹 드라이브에 '반도체 비상장주' 꿈틀,
9,레이저쎌,[특징주] 삼성전기·테슬라 계약 소식에 캠시스 '급등'…무상증자 권리락 종목...,
0,가온칩스,"가온칩스, 공모가 상단 초과 1만4000원…수요예측 경쟁률 1847.12대 1",
1,가온칩스,"SK쉴더스 빠진 공모주 시장, 가온칩스 포함 4곳 청약 나서 모처럼 북적",
2,가온칩스,"[증권소식] 에디슨EV ""파산 선고 가능성 희박""/가온칩스, 공모가 1만4000원 확...",
3,가온칩스,"[금일 증권업계 주요기사]""수소법 통과 기대감에"" 효성첨단소재 등 수소株 '고...",
4,가온칩스,(영상)잇단 IPO 철회에 청약 참패까지...공모주 매력 떨어졌나,
5,가온칩스,"[위클리 마켓] 원스토어·태림페이퍼, IPO 수요예측 돌입",
6,가온칩스,"SK쉴더스 상장철회… 바보야, 빅스텝이 아니라 '공모가'야! [사자경제]",
7,가온칩스,'빅스텝' 직격탄에 상장 접은 SK쉴더스…SK스퀘어 IPO 전략 영향 받나,
8,가온칩스,[스타트업을 흔드는 사람들] ⑦유승운 스톤브릿지 대표 “플랫폼에서 헬스케어...,
9,가온칩스,5월 공모주 시장 활짝...도전장 던진 6개사,
0,에이치피에스피,"이번주 눈여겨볼 공모주는? 루닛 수요예측, 영창케미칼·HPSP 청약",
1,에이치피에스피,[공시줍줍]공모주달력 7월 4일~8일,
2,에이치피에스피,[이번 주 IPO] 7월 첫째 주 수요예측·청약 일정,
3,에이치피에스피,[증시캘린더]이번주(7월1주) 코난테크놀로지 상장·영창케미칼 공모,
4,에이치피에스피,"영창케미칼·HPSP, 일반 청약 받는다",
5,에이치피에스피,"'소재·부품·장비' 공모, 7월에도 흥행 이어가나…IPO 10건 출격 준비",
6,에이치피에스피,먹구름 자욱한 증시…삼성전자 '6만전자' 멀어지나,
0,대명에너지,"[장외시황] 오에스피, 코스닥 상장예비심사 청구…현대오일뱅크 0.40% 상승",
0,위니아에이드,"위니아에이드, 코스닥 도전… ""글로벌 원스톱 플랫폼될 것""",
1,위니아에이드,"[IPO] 위니아에이드, 이달 상장...""원스톱 플랫폼 기업 도약""",
2,위니아에이드,"위니아에이드, 코스닥 상장.. ""유통·물류·케어 플랫폼 시너지""",
3,위니아에이드,"다음주 공모주시장, 범한퓨얼셀 청담글로벌 기세 이을 '알짜'는",
4,위니아에이드,얼어붙는 IPO 시장…하반기 '대어'들에 쏠린 눈,
5,위니아에이드,"[위클리 마켓] 넥스트칩·코난테크, IPO 수요예측 돌입",
0,지투파워,"IT 솔루션社 지투파워, 22~23일 일반 청약",
1,지투파워,"[이번주 공모주]유진스팩8호·지투파워, 두 곳 일반 청약 진행",
2,지투파워,"[증시캘린더]이번주(3월4주)세아메카닉스 상장, 지투파워 공모 등",
3,지투파워,[이번 주 IPO] 3월 넷째 주 수요예측·청약 일정,
4,지투파워,"공모주시장 양극화 지속, 차분해진 3월 IPO시장",
5,지투파워,[공시줍줍]공모주달력 3월 21일~25일,
6,지투파워,"금리 불확실성 걷어낸 증시, 먹구름은 여전",
0,지투파워,"지투파워, 내달 상장…스마트그리드 전문기업으로 거듭난다",
1,지투파워,"[IPO출사표]지투파워, '스마트솔루션' 내걸고 코스닥 도전",
2,지투파워,"공모주 침체에 올해 상장철회 벌써 3곳, 다음주 청약 지투파워에 기대",
3,지투파워,IPO 시장 경색에 '고평가→흥행실패',
4,지투파워,[오늘의 증시] 한화손해보험ㆍLG유플러스ㆍ롯데정밀화학 등,
5,지투파워,[3월19일자] 비즈니스포스트 아침의 주요기사,
0,위니아에이드,"위니아에이드, 공모가 1만6200원 확정…신규 사업 투자 확대",
1,위니아에이드,"이번주 공모주 청약, 레이저쎌·보로노이·위니아에이드 3개사",
2,위니아에이드,"위니아에이드, 공모가 상단 확정…수요예측 경쟁률 955대 1 기록",
3,위니아에이드,"'유니콘 특례 1호' 보로노이, 공모가 4만원 확정…14일부터 청약 접수",
4,위니아에이드,[이번주 증시 캘린더] 범한퓨얼셀 코스닥 입성…보로노이·위니아에이드 공모...,
5,위니아에이드,[6월 공모주 일정] 위니아에이드 수요예측? 보로노이부터 넥스트칩·코난테크...,
6,위니아에이드,"[증권소식] KB자산운용, KBSTAR 국채선물3년 ETF 상장/레이저쎌·위니아에이드...",
7,위니아에이드,"2022년 6월 공모주 청약 일정, 레이저쎌·보로노이·위니아에이드 이슈는?",
8,위니아에이드,범한퓨얼셀·레이저쎌 출격...유망업종 '긴급수혈'로 IPO 열기 꿈틀,
9,위니아에이드,오늘의 증시 메모[6월 14일],
0,가온칩스,"가온칩스 ""시스템반도체 중심에서 디자인 외친다""",
1,가온칩스,[5월 공모주 청약 일정] 가온칩스 일반 청약 일정을 살펴보니,
2,가온칩스,"[IPO 간담회] 가온칩스 ""시스템반도체 디자인 솔루션 기업 도약""",
3,가온칩스,"[톡톡IPO] ""시스템반도체 산업 중심 지향… 새로운 가치 창조할 것""",
4,가온칩스,IPO 몰린 5월··· 치열할 눈치게임의 승자는?,
5,가온칩스,"SK쉴더스·대명에너지, 5월 공모주 청약일정은? 기업분석 알아보니",
6,가온칩스,"신규상장 시장, 4월 침묵 딛고 기지개 켤까",
7,가온칩스,韓 반도체 인재 가뭄…영입 전쟁·육성책 마련 '총력',
8,가온칩스,SK쉴더스 필두로 IPO 대어 수요예측 재개…고평가 논란 넘을까,
9,가온칩스,"[장외시황] 지씨티세미컨덕터, 상장예비심사 청구서 제출…현대엔지니어링 1....",
0,대명에너지,"'재도전' 대명에너지, 3~4일 일반청약",
1,대명에너지,3일부터 대명에너지 공모주 청약 시작..수요예측·공모가 알아보니,
2,대명에너지,"[증시캘린더]이번주(5월1주)대명에너지 공모, SK쉴더스 수요예측 등",
3,대명에너지,그래도 공모주만 한 게 없더라…5월에도 '따상' 기업 나올까,
4,대명에너지,[공시줍줍]공모주달력 5월2일~6일,
5,대명에너지,"SK쉴더스 수요예측 출격, 5월 공모주시장 달아오른다",
6,대명에너지,[이번 주 IPO] 5월 첫째 주 수요예측·청약 일정,
7,대명에너지,"5월 공모주 시장, SK쉴더스로 반전 성공할까",
8,대명에너지,[시그널] IPO 대어들 대거 출격에도…흥행은 '안갯속',
9,대명에너지,"'3조 대어' SK쉴더스 출격, IPO 분위기 반전할까",
0,청담글로벌,다음주 IPO 시장은? 청담글로벌 일반청약 진행,
1,청담글로벌,"'흥행 실패' 청담글로벌, 공모가 낮추고 공모액 절반으로…""IPO 강행""",
2,청담글로벌,[증시캘린더]이번주(5월 4주) 청담글로벌 일반청약 등,
3,청담글로벌,"[증권소식] 외국인, 올해 한국 주식 15조원 순매도/올 봄 상장 종목 5개 중 1...",
4,청담글로벌,[공시줍줍]공모주달력 5월 23~27일,
5,청담글로벌,[이번 주 IPO] 5월 넷째 주 수요예측·청약 일정,
6,청담글로벌,‘헌트’ 정우성 “멋있는 이정재 덕분…한국배우 인기 실감”,
7,청담글로벌,윤곽 잡히는 긴축 강도…언제까지 계속될까,
8,청담글로벌,"[지난주 건설·부동산 주요이슈] 서울아파트 10채 중 9채 ""6억원 이상""...'월...",
9,청담글로벌,"[지난주 사건사고 주요이슈] 경찰 '가상화폐 루나' 대표 추적한 BJ 조사…檢,...",
0,지투파워,"스마트그리드 IT 솔루션 전문 지투파워, 내달 코스닥 입성",
1,지투파워,"원전용 전력설비 필수인증, 지투파워 Q클래스급 수배전반 제품출시 준비",
2,지투파워,"지투파워, 원전용 전력설비 필수인증 Q클래스급 수배전반 제품출시 준비",
3,지투파워,"지투파워, 스마트그리드 지능형 수배전반·태양광발전장치 생산확대 위해 공장...",
4,지투파워,"[장외시황] 지투파워, 18일까지 수요예측 진행…한국코러스 52주 최저가",
5,지투파워,"[IPO 간담회] 지투파워, ""스마트그리드 기반 IT 솔루션 기업 도약""",
6,지투파워,"[톡톡IPO] ""지속성장·기술혁신으로 스마트그리드 전문기업 될 것""",
7,지투파워,"[더벨]에이스톤벤처스의 선구안, 투자회사 대거 상장 눈앞",
8,지투파워,공모주 혹한기에 양극화 심화···'대박' 아니면 '쪽박',
9,지투파워,"올해 IPO 시장 찬바람, 공모가 산정방식 바꿔야",
0,영창케미칼,"약세장에 IPO 도전장 내는 반도체 '소부장' 기업들…""성장 위한 발판""",
1,영창케미칼,"[장외시황] 코난테크놀로지, 공모청약 시작… 한국코러스 52주 최저가",
0,넥스트칩,"레이저쎌 위니아에이드 흥행에 공모주시장 훈훈, 다음주 넥스트칩 기대",
1,넥스트칩,[시그널] '블랙 프라이데이'에 범한퓨얼셀 20% 급등,
2,넥스트칩,[6월18일자] 비즈니스포스트 아침의 주요기사,
0,에이치피에스피,"[주린이의 공모주] 영창케미칼·에이치피에스피, 공모 실시…화학소재·반도체...",
1,에이치피에스피,[이번주 증시 캘린더] 코난테크놀로지 상장…영창케미칼·에이치피에스피 공모,
2,에이치피에스피,"이번주 공모주 청약, 영창케미칼·에이치피에스피 2개사",
3,에이치피에스피,[IPO워치] '소부장' 흥행 열기 이어갈까…코스닥 상장 도전장 '후끈',
0,포바이포,“외출 전 카드 혜택 확인은 필수!” 일상 회복에 카드사 봄맞이 이벤트 봇물,
0,에이치피에스피,[7월 공모주 일정] 영창케미칼·에이치피에스피·루닛·성일하이텍,
1,에이치피에스피,[IPO캘린더] 현대오일뱅크 상장예심 통과...7월 IPO시장 활기 기대감,
0,비플라이소프트,[공시줍줍]공모주달력 6월 6~10일,
1,비플라이소프트,[이번 주 IPO] 6월 둘째 주 수요예측·청약 일정,
2,비플라이소프트,이번 달 13개 공모주 청약 나선다…2월 이후 최다,
3,비플라이소프트,6월 어떤 IPO 담을까…수소·차량용 반도체·AI 출격,
0,가온칩스,"'반도체 디자인 솔루션' 가온칩스, 기관 수요예측 흥행",
1,가온칩스,"이번주 공모주 청약, 원스토어·가온칩스 등 4개사",
2,가온칩스,[5월 공모주 일정] 가온칩스·원스토어·태림페이퍼 수요예측 경쟁률·공모가...,
3,가온칩스,[5월 공모주 청약 일정] 원스토어·가온칩스·태림페이퍼·마스턴프리미어리츠,
4,가온칩스,[주린이의 공모주] 원스토어 등 알짜 IPO 이어진다…이번주 주목할 기업은?,
5,가온칩스,"[투자의窓] SK쉴더스 상장철회 가온칩스는 공모가 상단초과, 엇갈린 전망속 원...",
6,가온칩스,[이번주 증시 캘린더] 원스토어·태림페이어 수요예측,
7,가온칩스,금리인상에 맥빠진 IPO 시장... '그래도 갈 곳은 간다',
8,가온칩스,"원스토어·태림페이퍼, 증시서 SK쉴더스 빠진 자리 메운다",
9,가온칩스,[코스피·코스닥 6일 주요 공시] 원익IPS 1분기 영업이익 220억원…9.2% ↓ 등,
0,청담글로벌,"청담글로벌, 공모가 6천원 확정…밴드 하단 29% 하회",
1,청담글로벌,"청담글로벌 5월 공모주 잔혹사 못 피해, 상장 준비 컬리와 쓱닷컴 긴장",
2,청담글로벌,"[D:이슈] 글로벌 OTT 넷플릭스, '음주운전 한국 배우' 김새론 품을까",
3,청담글로벌,"""23년만 재결합""…韓이 좁은 '청담 부부' 이정재X정우성, 칸을 뒤집어놓으셨다...",
4,청담글로벌,"청담동부부, 칸에서 재회했습니다. #칸영화제",
5,청담글로벌,"""공모가 30% 낮춰 상장 진행""...다음달 3일 상장",
6,청담글로벌,강남 부촌 1번지 ’논현동’의 화려한 비상,
7,청담글로벌,"[칸@SPO]'헌트' 이정재‧정우성, 칸의 밤 밝혔다…레드카펫 접수한 '현실깐부...",
8,청담글로벌,"시사회 매진에 7분 기립 박수! 칸에서 빛난 이정재X정우성, 여전히 간절함 없...",
9,청담글로벌,디올의 마리아 그라치아 키우리가 여자들과 공유한 것,
0,비플라이소프트,"[IPO] 비플라이소프트, 코스닥 이전 상장...""글로벌 미디어 오픈 플랫폼 도약...",
1,비플라이소프트,"범한퓨얼셀 비플라이소프트 공모주 시장 출격, 한파 이겨내고 흥행할까",
2,비플라이소프트,"비플라이소프트, ‘구독형 서비스 플랫폼 모델’ 통한 안정적인 수익화 전망",
3,비플라이소프트,[6월 공모주 일정] 비플라이소프트·위니아에이드·레이저쎌·보로노이·넥스...,
4,비플라이소프트,"지지부진한 증시··· 상장 앞둔 IT 기업들, ‘어렵다 Vs 할 만하다’",
5,비플라이소프트,6월 IPO 리드오프 청담글로벌 첫날 흥행...후발주자들도 '촉각',
6,비플라이소프트,"[DD 퇴근길] 지옥으로 가는 문, 모바일에 열렸다",
7,비플라이소프트,"[특징주] 청담글로벌, 코스닥 입성 첫날 강세…공모가比 27.33%↑",
8,비플라이소프트,[오늘의 증시 리포트] (6/3),
0,포바이포,"포바이포, 이달 코스닥 입성… 메타버스·VR 시장 정조준",
1,포바이포,"산업단지공단, 지속 가능한 산업단지 방안 모색",
2,포바이포,[위클리마켓] '토종 앱 마켓' 원스토어 수요예측 대기,
3,포바이포,[4월16일자] 비즈니스포스트 아침의 주요기사,
4,포바이포,[시그널] '품절주' 전략으로 흥행 노리는 공모주…SK쉴더스 물량 24%만 푼다,
5,포바이포,[팩트체크] 우크라이나의 전장은 탱크의 종언을 말하는가?,
6,포바이포,메트로신문 - 4월 15일 한줄 뉴스,
7,포바이포,"산단공, 산업클러스터학회와 지속가능한 산업단지 논의",
8,포바이포,"전국고용서비스협회, 제6대 이원장 협회장 취임",
9,포바이포,"전국고용서비스협회, 제6대 이원장 회장 취임...""직업안정법 통과시킬 것""",
0,청담글로벌,"IPO 앞둔 청담글로벌, 이커머스 성장과 함께 간다",
1,청담글로벌,"청담어학원, 여름학기 신입생 모집 입학시험 진행",
2,청담글로벌,"휴젤, 국내 온라인 학술행사 'H.O.P.E' 개최",
3,청담글로벌,"수변라이프 즐기게 될 서울, 인천에서 신규 분양 단지 나온다",
4,청담글로벌,[이BIO] 종근당·대웅제약·JW중외제약·휴젤,
5,청담글로벌,5월 18일 개장 전 주요공시,
6,청담글로벌,"배우 김새론, 음주운전 혐의로 경찰 조사 받아",
7,청담글로벌,"[제약 단신] 종근당, 유럽 임상 1상서 차세대 신약 개발 가능성 확인 外",
8,청담글로벌,MZ세대 껴안는 가구업계…팝업스토어 운영 붐,
9,청담글로벌,'매일경제 스피치&협상 최고경영자 과정' 개설…6월 8일 입학식 개최,
0,세아메카닉스,"[시그널] 세아메카닉스, 일반청약서 9조 동원…경쟁률 2475.87대 1",
1,세아메카닉스,세아메카닉스 IPO 흥행…청약 경쟁률 2475.87대 1,
2,세아메카닉스,"세아메카닉스, 일반 공모청약 경쟁율 2475대1 '흥행'…24일 첫 상장",
3,세아메카닉스,"세아메카닉스, 일반청약 증거금 9조원…경쟁률 2475.87대 1",
4,세아메카닉스,"세아메카닉스, 청약 경쟁률 2,475대 1…증거금 9조 몰려",
